,population,mAgeTotal,mAgeM,mAgeF,state,cDistrict,schoolTotal,No Schooling,Nursery,Kinder,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th nod,12th d,GEDalt,colUnder1yr,colOver1yr,Associates,Bachelors,Masters,ProfSchool,Doctorate,piTotal,psUTotal,psUM,psUF,psOTotal,psOM,psOF,eTotal,woE,withE,wTotal,woW,withW,healthTotal,healthM,healthF
427,715327,40.8,39.1,42.2,55,01,490729,3739,70,176,21,98,599,1069,390,1895,1211,3117,4914,5716,10318,8396,131923,19709,39066,70920,49028,89089,38396,6527,4342,700270,73128,32264,40864,627142,313784,313358,276902,216998,59904,276902,211731,65171,704546,348309,356237
428,757511,36.6,35.5,37.8,55,02,502603,3232,0,15,72,137,67,217,660,1294,223,3377,2865,4837,4666,4789,104680,13706,29533,58908,55162,129562,57414,12814,14373,739494,83723,38741,44982,655771,328117,327654,306923,254748,52175,306923,247259,59664,751681,372680,379001
429,721847,38.4,37.6,39.3,55,03,475427,3820,6,0,111,37,179,78,224,711,726,8135,3637,6116,6861,6384,141581,16429,35614,65369,58521,79895,29149,6095,5749,689540,87218,40399,46819,602322,304845,297477,286437,219030,67407,286437,210865,75572,710404,354687,355717
430,713297,32.8,31.4,34.1,55,04,452828,7869,67,0,237,902,1003,963,789,4692,1527,4948,6799,10521,15944,9840,112854,19415,25784,70336,34221,78455,32565,8366,4731,696840,166380,74565,91815,530460,260549,269911,278710,213791,64919,278710,207953,70757,707923,340063,367860
431,722739,41.4,40.1,43.0,55,05,507345,2416,19,184,57,270,38,590,129,1442,377,3404,2162,4422,6134,6086,122139,15617,33458,69373,51933,122104,45778,12918,6295,710001,49372,21068,28304,660629,327416,333213,294420,228166,66254,294420,222313,72107,717180,351638,365542
432,711318,41.8,40.5,43.4,55,06,496489,3974,10,229,43,0,201,149,259,1552,605,4184,4366,6723,7658,8707,155797,18618,34960,67468,49972,89697,30560,7478,3279,685549,62352,26540,35812,623197,314296,308901,291448,224619,66829,291448,218485,72963,694758,344937,349821
433,708541,44.6,43.6,45.6,55,07,505192,3287,58,73,49,64,484,362,249,1016,382,8704,3836,6710,8818,8802,157080,18784,37913,70596,61239,78599,27205,8112,2770,694901,74284,32580,41704,620617,316241,304376,294702,219084,75618,294702,209403,85299,699722,351286,348436
434,728129,40.5,39.5,41.6,55,08,502716,3967,0,198,365,184,833,139,328,1073,792,5362,3458,7074,6180,7201,157028,17247,36460,66633,60336,91102,27469,7028,2259,711970,65108,31439,33669,646862,325031,321831,297456,232962,64494,297456,226640,70816,720467,359939,360528
435,585501,37.2,36.6,37.8,56,00,390794,1383,59,0,0,85,115,5,31,1044,979,2050,3128,6437,6796,4579,93204,21420,30127,67834,45601,67845,26068,6551,5453,571169,64663,30401,34262,506506,259730,246776,223619,179782,43837,223619,174445,49174,576027,291957,284070
436,3411307,40.7,38.8,42.5,72,98,2372197,58790,749,432,11707,18487,32461,45170,29020,68600,43998,61508,89473,40107,53017,25092,591067,66456,41330,257096,237746,433120,112925,26678,27168,3379483,1469382,668036,801346,1910101,936779,973322,1208438,670784,537654,1208438,616597,591841,3384148,1606058,1778090
